Dimensionality Reduction,Feature Selection,Model,Best C,F1 Score
SVD_300,ChiSquare_1000,LogisticRegression,,0.6965908467511059
SVD_300,ChiSquare_1000,SGDClassifier,,0.6781143277634081
SVD_300,ChiSquare_1000,LinearSVC,,0.693165985221429
SVD_300,ChiSquare_1000,Stacking,,0.6844032838683947
SVD_300,ChiSquare_1000,Voting,,0.6850686260408224
SVD_1000,ChiSquare_1000,LogisticRegression,,0.6962301307992413
SVD_1000,ChiSquare_1000,SGDClassifier,,0.689321682787204
SVD_1000,ChiSquare_1000,LinearSVC,,0.7044065540016954
SVD_1000,ChiSquare_1000,Stacking,,0.7372036807195826
SVD_1000,ChiSquare_1000,Voting,,0.7184892793255773
SVD_300,ChiSquare_1500,LogisticRegression,,0.692465760525099
SVD_300,ChiSquare_1500,SGDClassifier,,0.6579532741524241
SVD_300,ChiSquare_1500,LinearSVC,,0.6901768412361828
SVD_300,ChiSquare_1500,Stacking,,0.680429205297038
SVD_300,ChiSquare_1500,Voting,,0.6845109909095406
SVD_1000,ChiSquare_1500,LogisticRegression,,0.7074920758923726
SVD_1000,ChiSquare_1500,SGDClassifier,,0.6855849588554238
SVD_1000,ChiSquare_1500,LinearSVC,,0.7113765588254501
SVD_1000,ChiSquare_1500,Stacking,,0.7437930503713597
SVD_1000,ChiSquare_1500,Voting,,0.7259741225778578
